district,precinct
1,0900101-007
1,0900101-008
1,0900101-011
1,0900101-021
1,0900101-010
1,0900101-015
1,0900101-168
1,0900101-009
1,0900101-031
1,0900101-032
1,0900101-033
1,0900101-012
1,0900101-020
1,0900101-173
1,0900101-013
1,0900101-014
1,0900101-016
1,0900101-017
1,0900101-019
1,0900101-175
1,0900101-018
1,0900101-023
1,0900101-065
1,0900101-066
1,0900101-025
1,0900101-063
1,0900101-028
1,0900101-022
1,0900101-026
1,0900101-030
1,0900101-067
1,0900101-068
1,0900101-070
1,0900101-071
1,0900101-029
1,0900101-024
1,0900101-055
1,0900101-057
1,0900101-059
1,0900101-060
1,0900101-094
1,0900101-096
1,0900101-112
1,0900101-056
1,0900101-058
1,0900101-105
1,0900101-111
1,0900101-130
1,0900101-149
1,0900101-153
1,0900101-131
1,0900101-133
1,0900101-135
1,0900101-061
1,0900101-062
1,0900101-091
1,0900101-104
1,0900101-117
1,0900101-174
1,0900101-176
1,0900101-069
1,0900101-191
1,0900101-200
1,0900101-064
1,0900101-178
1,0900101-199
1,0900101-072
1,0900101-073
1,0900101-074
1,0900101-075
1,0900101-082
1,0900101-083
1,0900101-076
1,0900101-078
1,0900101-079
1,0900101-084
1,0900101-085
1,0900101-077
1,0900101-080
1,0900101-081
1,0900101-089
1,0900101-142
1,0900101-143
1,0900101-086
1,0900101-087
1,0900101-088
1,0900101-151
1,0900101-144
1,0900101-092
1,0900101-171
1,0900101-127
1,0900101-095
1,0900101-186
1,0900101-187
1,0900101-113
1,0900101-106
1,0900101-107
1,0900101-109
1,0900101-110
1,0900101-115
1,0900101-108
1,0900101-114
1,0900101-116
1,0900101-185
1,0900101-192
1,0900101-180
1,0900101-188
1,0900101-119
1,0900101-177
1,0900101-172
1,0900101-129
1,0900101-138
1,0900101-193
1,0900101-132
1,0900101-134
1,0900101-136
1,0900101-148
1,0900101-137
1,0900101-147
1,0900101-140
1,0900101-141
1,0900101-146
1,0900101-145
1,0900101-152
1,0900101-154
1,0900101-157
1,0900101-150
1,0900101-155
1,0900101-156
1,0900101-158
1,0900101-182
1,0900101-183
1,0900101-184
1,0900101-179
1,0900101-181
2,0900303-087
2,0900303-094
2,0901313-006
2,0901313-013
2,0900303-052
2,0900303-056
2,0900303-092
2,0900303-051
2,0900303-053
2,0900303-096
2,0901313-002
2,0901313-008
2,0900303-054
2,0900303-175
2,0900707-010
2,0900303-088
2,0900303-090
2,0900303-138
2,0900303-089
2,0900303-091
2,0900303-095
2,0901313-023
2,0901313-024
2,0901111-002
2,0901111-003
2,0901111-005
2,0900303-137
2,0900707-001
2,0900707-004
2,0900707-009
2,0900707-012
2,0900707-013
2,0900707-015
2,0901111-026
2,0900707-002
2,0900707-034
2,0900707-035
2,0900909-052
2,0900707-011
2,0900909-053
2,0900707-014
2,0901111-045
2,0900707-031
2,0900707-032
2,0901111-043
2,0900909-010
2,0900909-011
2,0900909-013
2,0900909-014
2,0900909-016
2,0900909-038
2,0900909-012
2,0900909-028
2,0900909-034
2,0900909-035
2,0900909-036
2,0901111-001
2,0901111-009
2,0901111-020
2,0901111-039
2,0901111-040
2,0901111-057
2,0901111-004
2,0901111-019
2,0901111-006
2,0901111-007
2,0901111-008
2,0901111-030
2,0901111-055
2,0901111-056
2,0901111-037
2,0901111-046
2,0901515-022
2,0901515-031
2,0901111-010
2,0901111-011
2,0901111-024
2,0901515-003
2,0901515-014
2,0901111-036
2,0901111-044
2,0901111-052
2,0901111-012
2,0901111-013
2,0901111-014
2,0901111-015
2,0901111-016
2,0901111-018
2,0901111-035
2,0901111-034
2,0901111-033
2,0901111-021
2,0901111-022
2,0901111-023
2,0901111-054
2,0901111-017
2,0901111-051
2,0901111-050
2,0901313-003
2,0901515-028
2,0901515-032
2,0901111-028
2,0901111-032
2,0901111-025
2,0901111-038
2,0901111-027
2,0901111-031
2,0901111-053
2,0901111-048
2,0901111-049
2,0901111-041
2,0901111-042
2,0901111-047
2,0901515-015
2,0901515-023
2,0901313-001
2,0901313-004
2,0901313-005
2,0901313-010
2,0901313-012
2,0901313-017
2,0901313-019
2,0901313-025
2,0901313-007
2,0901313-018
2,0901313-021
2,0901313-022
2,0901313-015
2,0901313-016
2,0901313-009
2,0901313-011
2,0901515-001
2,0901515-004
2,0901515-029
2,0901515-030
2,0901313-014
2,0901313-020
2,0901515-005
2,0901515-033
2,0901515-002
2,0901515-006
2,0901515-007
2,0901515-008
2,0901515-013
2,0901515-018
2,0901515-019
2,0901515-016
2,0901515-010
2,0901515-009
2,0901515-011
2,0901515-012
2,0901515-021
2,0901515-017
2,0901515-020
2,0901515-025
2,0901515-024
2,0901515-027
2,0901515-026
3,0900303-002
3,0900303-009
3,0900303-043
3,0900303-131
3,0900303-133
3,0900303-158
3,0900303-159
3,0900303-004
3,0900303-005
3,0900303-006
3,0900303-008
3,0900707-020
3,0900909-059
3,0900303-097
3,0900303-098
3,0900303-119
3,0900303-127
3,0900707-003
3,0900303-114
3,0900303-010
3,0900303-012
3,0900303-013
3,0900303-025
3,0900303-151
3,0900303-171
3,0900303-011
3,0900303-065
3,0900303-067
3,0900303-068
3,0900303-085
3,0900303-166
3,0900303-167
3,0900303-169
3,0900303-130
3,0900303-057
3,0900303-150
3,0900303-172
3,0900303-173
3,0900303-174
3,0900303-026
3,0900303-027
3,0900303-029
3,0900303-134
3,0900303-028
3,0900303-032
3,0900303-030
3,0900303-031
3,0900303-080
3,0900303-082
3,0900303-083
3,0900303-084
3,0900303-050
3,0900303-165
3,0900303-093
3,0900303-033
3,0900303-034
3,0900303-035
3,0900303-135
3,0900303-170
3,0900303-036
3,0900303-037
3,0900303-038
3,0900303-040
3,0900303-041
3,0900303-039
3,0900303-042
3,0900303-044
3,0900303-045
3,0900303-046
3,0900303-113
3,0900303-157
3,0900303-109
3,0900303-110
3,0900303-117
3,0900303-155
3,0900303-156
3,0900303-161
3,0900303-128
3,0900707-033
3,0900303-059
3,0900303-060
3,0900303-070
3,0900303-061
3,0900303-069
3,0900303-062
3,0900303-063
3,0900303-071
3,0900303-152
3,0900303-153
3,0900303-072
3,0900303-074
3,0900303-064
3,0900303-066
3,0900303-073
3,0900303-075
3,0900303-081
3,0900303-154
3,0900303-076
3,0900303-077
3,0900303-118
3,0900303-163
3,0900303-078
3,0900303-079
3,0900303-164
3,0900303-168
3,0900303-101
3,0900303-105
3,0900303-099
3,0900303-104
3,0900303-107
3,0900303-120
3,0900303-100
3,0900303-111
3,0900303-102
3,0900303-103
3,0900303-106
3,0900303-112
3,0900303-108
3,0900303-115
3,0900303-116
3,0900303-121
3,0900303-122
3,0900303-160
3,0900303-129
3,0900303-162
3,0900303-136
3,0900707-017
3,0900707-019
3,0900707-025
3,0900707-027
3,0900707-026
3,0900707-023
3,0900707-018
3,0900707-024
3,0900707-028
3,0900707-029
3,0900707-030
3,0900707-022
3,0900707-021
4,0900101-001
4,0900101-002
4,0900101-003
4,0900101-004
4,0900101-006
4,0900101-044
4,0900101-005
4,0900101-035
4,0900101-043
4,0900101-099
4,0900101-100
4,0900101-118
4,0900101-045
4,0900101-046
4,0900101-048
4,0900101-034
4,0900101-042
4,0900101-097
4,0900505-024
4,0900505-025
4,0900505-003
4,0900101-036
4,0900101-037
4,0900101-038
4,0900101-039
4,0900101-040
4,0900101-047
4,0900101-053
4,0900101-054
4,0900101-041
4,0900101-098
4,0900101-049
4,0900101-050
4,0900101-121
4,0900101-051
4,0900101-052
4,0900101-120
4,0900101-122
4,0900101-090
4,0900101-102
4,0900101-093
4,0900101-103
4,0900101-101
4,0900101-128
4,0900505-021
4,0900909-147
4,0900909-149
4,0900505-011
4,0900505-022
4,0900303-001
4,0900303-003
4,0900303-024
4,0900303-049
4,0900303-132
4,0900303-023
4,0900303-143
4,0900303-014
4,0900303-015
4,0900303-016
4,0900303-017
4,0900303-018
4,0900303-019
4,0900303-047
4,0900303-048
4,0900303-022
4,0900303-125
4,0900303-021
4,0900505-028
4,0900303-020
4,0900909-192
4,0900303-145
4,0900303-124
4,0900505-010
4,0900505-018
4,0900303-058
4,0900505-001
4,0900505-017
4,0900303-126
4,0900303-086
4,0900505-005
4,0900303-123
4,0900303-146
4,0900303-147
4,0900303-141
4,0900303-142
4,0900303-149
4,0900303-144
4,0900303-148
4,0900909-191
4,0900505-050
4,0900505-002
4,0900505-016
4,0900505-045
4,0900505-047
4,0900505-051
4,0900505-019
4,0900505-029
4,0900505-004
4,0900505-006
4,0900505-026
4,0900505-027
4,0900505-030
4,0900505-007
4,0900505-008
4,0900505-031
4,0900505-044
4,0900505-012
4,0900505-034
4,0900505-009
4,0900505-054
4,0900505-013
4,0900505-015
4,0900505-032
4,0900505-033
4,0900505-053
4,0900505-023
4,0900505-014
4,0900505-038
4,0900505-020
4,0900909-165
4,0900909-193
4,0900505-046
4,0900505-049
4,0900505-036
4,0900505-037
