district,precinct
1,05007000001
1,05007000002
1,05007000004
1,05007000023
1,05007000060
1,05007000081
1,05007000086
1,05007000024
1,05007000101
1,05007000003
1,05007000050
1,05007000053
1,05007000054
1,05007000087
1,05007000092
1,05007000006
1,05007000015
1,05007000020
1,05007000095
1,05007000005
1,05007000012
1,05007000045
1,05007000076
1,05007000007
1,05007000096
1,05007000017
1,05007000097
1,05007000008
1,05007000009
1,05007000010
1,05007000011
1,05007000085
1,05007000013
1,05007000014
1,05007000033
1,05007000035
1,05007000041
1,05007000051
1,05007000073
1,05015000009
1,05007000058
1,05007000019
1,05007000016
1,05143000200
1,05143000380
1,05143000400
1,05143000840
1,05007000018
1,05007000043
1,05007000074
1,05007000077
1,05007000098
1,05007000070
1,05007000099
1,05143000210
1,05007000100
1,05007000021
1,05007000025
1,05007000026
1,05007000065
1,05007000066
1,05007000088
1,05007000022
1,05007000036
1,05007000094
1,05007000102
1,05007000104
1,05007000116
1,05007000061
1,05007000072
1,05007000114
1,05007000103
1,05007000027
1,05007000029
1,05007000030
1,05007000078
1,05007000028
1,05007000109
1,05007000082
1,05007000031
1,05007000063
1,05007000032
1,05007000062
1,05007000064
1,05007000079
1,05007000037
1,05007000075
1,05007000113
1,05007000034
1,05007000059
1,05007000044
1,05007000083
1,05007000038
1,05007000069
1,05007000039
1,05007000047
1,05007000068
1,05007000089
1,05007000111
1,05007000040
1,05007000056
1,05007000105
1,05007000106
1,05007000046
1,05007000090
1,05007000042
1,05007000048
1,05007000049
1,05007000052
1,05007000084
1,05007000055
1,05007000080
1,05007000093
1,05007000067
1,05007000107
1,05007000112
1,05143000740
1,05143000747
1,05007000091
1,05007000057
1,05015000027
1,05087000014
1,05143000040
1,05007000108
1,05143000758
1,05143000779
1,05143000830
1,05143000680
1,05143000742
1,05007000115
1,05143000762
1,05007000071
1,05007000110
1,05007000117
1,05015000015
1,05143000753
1,05009000001
1,05009000002
1,05009000003
1,05009000004
1,05009000008
1,05009000009
1,05009000005
1,05009000010
1,05101000DOG
1,05101000GRO
1,05015000017
1,05015000026
1,05101000PON
1,05015000018
1,05015000023
1,05015000001
1,05015000002
1,05015000003
1,05015000004
1,05015000005
1,05015000029
1,05015000013
1,05015000016
1,05015000021
1,05015000025
1,05015000031
1,05087000001
1,05015000014
1,05015000006
1,05015000007
1,05015000008
1,05015000020
1,05015000010
1,05015000011
1,05015000012
1,05015000030
1,05015000022
1,05015000028
1,05015000019
1,05087000009
1,05015000024
1,05033000001
1,05033000002
1,05033000004
1,05033000012
1,05033000013
1,05033000016
1,05033000038
1,05131009_1A
1,05033000003
1,05033000036
1,05033000024
1,05033000026
1,05033000010
1,05033000005
1,05033000019
1,05033000043
1,050470003_C
1,05087000006
1,05143000620
