district,precinct
1,0900303_013
1,0900303_025
1,0900303_171
1,0900303_085
1,0900303_166
1,0900303_167
1,0900303_169
1,0900303_150
1,0900303_172
1,0900303_173
1,0900303_174
1,0900303_026
1,0900303_027
1,0900303_134
1,0900303_028
1,0900303_087
1,0900303_094
1,0900303_033
1,0900303_034
1,0900303_035
1,0900303_135
1,0900303_170
1,0900303_036
1,0900303_037
1,0900303_038
1,0900303_040
1,0901313_006
1,0900303_041
1,0900303_039
1,0900303_042
1,0901313_013
1,0900303_092
1,0900303_051
1,0901313_002
1,0901313_008
1,0900303_168
1,0900303_088
1,0900303_090
1,0900303_138
1,0900303_089
1,0900303_091
1,0900303_095
1,0901313_023
1,0901313_024
1,0900303_136
1,0900303_137
1,0901111_045
1,0901111_043
1,0901111_001
1,0901111_009
1,0901111_020
1,0901111_039
1,0901111_040
1,0901111_057
1,0901111_004
1,0901111_019
1,0901111_006
1,0901111_007
1,0901111_008
1,0901111_030
1,0901111_055
1,0901111_056
1,0901111_037
1,0901111_046
1,0901515_022
1,0901515_031
1,0901111_010
1,0901111_011
1,0901111_024
1,0901515_003
1,0901515_014
1,0901111_036
1,0901111_044
1,0901111_052
1,0901111_012
1,0901111_013
1,0901111_014
1,0901111_015
1,0901111_016
1,0901111_018
1,0901111_035
1,0901111_034
1,0901111_033
1,0901111_021
1,0901111_022
1,0901111_023
1,0901111_054
1,0901111_017
1,0901111_051
1,0901111_050
1,0901313_003
1,0901515_028
1,0901515_032
1,0901111_028
1,0901111_032
1,0901111_025
1,0901111_038
1,0901111_027
1,0901111_031
1,0901111_053
1,0901111_048
1,0901111_049
1,0901111_041
1,0901111_042
1,0901111_047
1,0901515_015
1,0901515_023
1,0901313_001
1,0901313_004
1,0901313_005
1,0901313_010
1,0901313_012
1,0901313_017
1,0901313_019
1,0901313_025
1,0901313_007
1,0901313_018
1,0901313_021
1,0901313_022
1,0901313_015
1,0901313_016
1,0901313_009
1,0901313_011
1,0901515_001
1,0901515_004
1,0901515_029
1,0901515_030
1,0901313_014
1,0901313_020
1,0901515_005
1,0901515_033
1,0901515_002
1,0901515_006
1,0901515_007
1,0901515_008
1,0901515_013
1,0901515_018
1,0901515_019
1,0901515_016
1,0901515_010
1,0901515_009
1,0901515_011
1,0901515_012
1,0901515_021
1,0901515_017
1,0901515_020
1,0901515_025
1,0901515_024
1,0901515_027
1,0901515_026
2,0900303_009
2,0900303_043
2,0900303_158
2,0900303_159
2,0900303_004
2,0900303_005
2,0900303_006
2,0900303_008
2,0900707_020
2,0900303_097
2,0900303_098
2,0900303_119
2,0900303_127
2,0900707_003
2,0900303_114
2,0900303_010
2,0900303_012
2,0900303_151
2,0900303_011
2,0900303_065
2,0900303_067
2,0900303_068
2,0900303_029
2,0900303_032
2,0900303_030
2,0900303_031
2,0900303_080
2,0900303_082
2,0900303_083
2,0900303_084
2,0900303_050
2,0900303_165
2,0900303_093
2,0900303_044
2,0900303_045
2,0900303_046
2,0900303_113
2,0900303_157
2,0900303_109
2,0900303_110
2,0900303_117
2,0900303_155
2,0900303_156
2,0900303_052
2,0900303_056
2,0900303_161
2,0900303_053
2,0900303_096
2,0900303_054
2,0900303_175
2,0900303_128
2,0900707_010
2,0900707_033
2,0900303_059
2,0900303_060
2,0900303_070
2,0900303_061
2,0900303_069
2,0900303_062
2,0900303_063
2,0900303_071
2,0900303_152
2,0900303_153
2,0900303_072
2,0900303_074
2,0900303_064
2,0900303_066
2,0900303_073
2,0900303_075
2,0900303_081
2,0900303_154
2,0900303_076
2,0900303_077
2,0900303_118
2,0900303_163
2,0900303_078
2,0900303_079
2,0900303_164
2,0901111_002
2,0901111_003
2,0901111_005
2,0900303_101
2,0900303_105
2,0900303_099
2,0900303_104
2,0900303_107
2,0900303_120
2,0900303_100
2,0900303_111
2,0900303_102
2,0900303_103
2,0900303_106
2,0900303_112
2,0900303_108
2,0900303_115
2,0900303_116
2,0900303_121
2,0900303_122
