district,precinct
1,15003000107
1,15003000108
1,15003000117
1,15003000118
1,15003000119
1,15003000120
1,15003940004
1,15003000114
1,15003000115
1,15003000116
1,15003000121
1,15003000200
1,15003000110
1,15003980000
1,15003990001
1,15003000122
1,15003011300
1,15003000301
1,15003000302
1,15003000401
1,15003000402
1,15003000500
1,15003011000
1,15003010308
1,15003980200
1,15003981400
1,15003006704
1,15003006703
1,15003006812
1,15003006811
1,15003007507
1,15003007508
1,15003006806
1,15003006813
1,15003006814
1,15003006816
1,15003006817
1,15003006818
1,15003007002
1,15003006810
1,15003006815
1,15003006819
1,15003006900
1,15003007001
1,15003007100
1,15003007400
1,15003007302
1,15003981900
1,15003008301
1,15003982200
1,15003007504
1,15003007701
1,15003007808
1,15003008001
1,15003011401
1,15003007702
1,15003007816
1,15003010309
1,15003007807
1,15003007804
1,15003007812
1,15003007813
1,15003007815
1,15003008002
1,15003008012
1,15003008013
1,15003007817
1,15003007809
1,15003007814
1,15003008005
1,15003008011
1,15003010303
1,15003008009
1,15003008704
1,15003008931
1,15003008008
1,15003008010
1,15003008302
1,15003008405
1,15003008414
1,15003008415
1,15003008418
1,15003008624
1,15003008706
1,15003008413
1,15003008411
1,15003008417
1,15003008625
1,15003008407
1,15003008408
1,15003008410
1,15003008502
1,15003008416
1,15003008626
1,15003008609
1,15003008610
1,15003011500
1,15003980300
1,15003008611
1,15003008632
1,15003008631
1,15003940005
1,15003940006
1,15003008623
1,15003008627
1,15003008628
1,15003008629
1,15003008633
1,15003008630
1,15003008634
1,15003008913
1,15003008934
1,15003008935
1,15003008936
1,15003008937
1,15003009000
1,15003009510
1,15003009511
1,15003009512
1,15003009608
1,15003980600
1,15003008702
1,15003008705
1,15003008707
1,15003008801
1,15003008802
1,15003008912
1,15003008921
1,15003008952
1,15003008938
1,15003008906
1,15003008909
1,15003008917
1,15003008918
1,15003008932
1,15003008933
1,15003008940
1,15003008941
1,15003008942
1,15003008950
1,15003008930
1,15003008945
