district,precinct
1,15001020100
1,15001020202
1,15001022102
1,15001990800
1,15001020300
1,15001020400
1,15001020600
1,15001020801
1,15001020900
1,15001021011
1,15001021013
1,15001990700
1,15001020802
1,15001020500
1,15001020701
1,15001990600
1,15001020702
1,15001021003
1,15001021014
1,15001021015
1,15001021016
1,15001021107
1,15001021017
1,15001021203
1,15001990500
1,15001021108
1,15001021101
1,15001990300
1,15001990400
1,15001021204
1,15001021300
1,15001021502
1,15001022000
1,15001990100
1,15001021402
1,15001990000
1,15001021510
1,15001991700
1,15001021504
1,15001021511
1,15001021512
1,15001021513
1,15001021605
1,15001021606
1,15001021607
1,15001021706
1,15001991400
1,15001021608
1,15001991500
1,15001991600
1,15001021708
1,15001021705
1,15001021707
1,15001021800
1,15001021902
1,15001991300
1,15001991200
1,15001991100
1,15001991000
1,15001990900
1,15009990200
1,15003000901
1,15003001000
1,15003000600
1,15003000700
1,15003000800
1,15003001602
1,15003001700
1,15003000903
1,15003001300
1,15003001400
1,15003000904
1,15003000905
1,15003001201
1,15003001101
1,15003001102
1,15003001202
1,15003002802
1,15003003103
1,15003002701
1,15003002801
1,15003001501
1,15003002102
1,15003001502
1,15003002101
1,15003001601
1,15003001801
1,15003001804
1,15003001901
1,15003001803
1,15003002004
1,15003001905
1,15003001906
1,15003001907
1,15003002003
1,15003002005
1,15003002006
1,15003003703
1,15003003701
1,15003002203
1,15003002500
1,15003002205
1,15003002206
1,15003002301
1,15003002204
1,15003002302
1,15003002401
1,15003002600
1,15003002404
1,15003002403
1,15003003504
1,15003003603
1,15003003604
1,15003002702
1,15003002900
1,15003003000
1,15003003414
1,15003003104
1,15003003102
1,15003011600
1,15003004402
1,15003004500
1,15003003404
1,15003003408
1,15003003409
1,15003003410
1,15003003412
1,15003004301
1,15003003413
1,15003003501
1,15003003503
1,15003982100
1,15003003411
1,15003004101
1,15003003606
1,15003004102
1,15003003605
1,15003003702
1,15003003801
1,15003003802
1,15003003900
1,15003004000
1,15003005200
1,15003005700
1,15003004201
1,15003004202
1,15003004302
1,15003005100
1,15003004401
1,15003005000
1,15003004600
1,15003004702
1,15003004701
1,15003004801
1,15003006402
1,15003006500
1,15003004802
1,15003004900
1,15003005602
1,15003006401
1,15003005601
1,15003005500
1,15003005300
1,15003005400
1,15003005800
1,15003006100
1,15003005900
