district,precinct
1,16001011401
1,16001011402
1,16001011404
1,16001011405
1,16001011406
1,16027271142
1,16045458005
1,16045458007
1,16001011403
1,16001011407
1,16001011408
1,16001011409
1,16001011901
1,16001011904
1,16015158040
1,16001011412
1,16027271143
1,16001011413
1,16001011416
1,16001011410
1,16001011411
1,16001011903
1,16001011601
1,16001011417
1,16001011414
1,16001011415
1,16001012001
1,16001012004
1,16001012003
1,16001012002
1,16001011501
1,16001011502
1,16001011503
1,16001011607
1,16001011418
1,16001012201
1,16027271253
1,16001011419
1,16001012007
1,16001012202
1,16001011504
1,16001011505
1,16001011506
1,16001011609
1,16001011507
1,16001011509
1,16001012006
1,16001012011
1,16001011508
1,16001011510
1,16001011511
1,16001011512
1,16001011513
1,16001011610
1,16001011514
1,16001011515
1,16001011701
1,16001012013
1,16001012104
1,16001012105
1,16001011702
1,16001011801
1,16001011602
1,16001011905
1,16001011603
1,16001011604
1,16001011605
1,16001011606
1,16001011608
1,16001011906
1,16001011907
1,16001011908
1,16001011911
1,16001011913
1,16001011915
1,16001011611
1,16001011613
1,16001011615
1,16001011704
1,16001011612
1,16001011614
1,16001011703
1,16001011712
1,16001011803
1,16001011705
1,16001011706
1,16001011707
1,16001011708
1,16001011713
1,16001011709
1,16001011714
1,16001011710
1,16001011916
1,16001011711
1,16001011715
1,16001011807
1,16001011805
1,16001011808
1,16001011804
1,16001011812
1,16001011802
1,16001012109
1,16001012108
1,16001012114
1,16001012116
1,16001012214
1,16001011815
1,16001011818
1,16001011806
1,16001011809
1,16001011917
1,16001011810
1,16001011811
1,16001011817
1,16001011919
1,16001011813
1,16001011814
1,16001011816
1,16001011918
1,16001011920
1,16015158070
1,16039392307
1,16001011902
1,16001011909
1,16001011910
1,16001011912
1,16001011914
1,16001012005
1,16001012008
1,16001012009
1,16001012010
1,16001012203
1,16001012012
1,16001012101
1,16001012204
1,16001012102
1,16001012103
1,16001012106
1,16001012206
1,16001012107
1,16001012110
1,16001012111
1,16001012113
1,16001012112
1,16001012207
1,16001012212
1,16001012115
1,16001012205
1,16027271128
1,16027271258
1,16001012208
1,16001012209
1,16001012210
1,16001012211
1,16027271127
1,16001012213
1,16027271126
1,16039392303
1,16039392309
1,16003039001
1,16003039002
1,16085858002
1,16085858003
1,16087879007
1,16087879008
1,16003039003
1,16003039005
1,16085858004
1,16003039004
1,16003039006
1,16049497021
1,16009095001
1,16009095003
1,16009095004
1,16009095006
1,16009095007
1,16009095009
1,16009095010
1,16009095011
1,16009095002
1,16055552068
1,16055553069
1,16009095005
1,16057575022
1,16057575032
1,16079797012
1,16009095008
1,16079797011
1,16079797009
1,16057575020
1,16057575028
1,16057575031
1,16039392301
1,16015158030
1,16015158050
1,16015158060
1,16015158080
1,16085858005
1,16085858006
1,16045458012
1,16045458013
1,16039392306
1,16039392317
1,16027271007
1,16027271008
1,16027271009
1,16027271011
1,16027271012
1,16027271020
1,16027271134
1,16027271139
1,16027271010
1,16027271013
1,16027271014
1,16027271015
1,16027271016
1,16027271017
1,16027271018
1,16027271019
1,16027271250
1,16027271251
1,16027271131
1,16027271133
1,16027271249
1,16027271141
1,16027271132
1,16073732306
1,16073732307
1,16027271129
1,16027271130
1,16027271370
1,16027271377
1,16027271382
1,16027271374
1,16027271379
1,16027271380
1,16027271381
1,16027271254
1,16027271259
1,16073732303
1,16073732304
1,16027271135
1,16027271137
1,16027271144
1,16027271136
1,16027279001
1,16027271138
1,16073732301
1,16073732302
1,16027271140
1,16027279002
1,16027279003
1,16027271252
1,16027271255
1,16027271256
1,16027271257
1,16027271260
1,16027271261
1,16027271369
1,16027271262
1,16027271372
1,16027271373
1,16027271371
1,16027271375
1,16027271376
1,16027271378
1,16075759005
1,16075759008
1,16075759009
1,16035357001
1,16035357002
1,16035357003
1,16035357004
1,16035357005
1,16035357006
1,16035357009
1,16035357011
1,16035357012
1,16035357014
1,16035357008
1,16035357013
1,16061616001
1,16061616007
1,16069696029
1,16035357007
1,16049497026
1,16061616002
1,16057575025
1,16069696027
1,16069696028
1,16049497009
1,16035357010
1,16049497020
1,16057575019
1,16039392318
1,16039392308
1,16073732308
1,16073732309
1,16039392304
1,16039392305
1,16039392311
1,16073732310
1,16039392315
1,16039392314
1,16039392310
1,16039392312
1,16039392316
1,16039392313
1,16045458001
1,16045458002
1,16045458003
1,16045458004
1,16045458006
1,16045458010
1,16045458011
1,16045458008
1,16045458009
1,16075759010
1,16049497001
1,16049497008
1,16049497010
1,16049497017
1,16049497019
1,16049497024
1,16049497002
1,16049497015
1,16049497003
1,16049497004
1,16049497006
1,16049497007
1,16049497012
1,16049497018
1,16049497005
1,16049497022
1,16049497027
1,16049497011
1,16061616004
1,16049497013
1,16049497014
1,16049497025
1,16049497023
1,16049497016
1,16061616005
1,16061616003
1,16079797001
1,16079797010
1,16057575001
1,16057575002
1,16057575007
1,16057575008
1,16057575013
1,16057575018
1,16057575003
1,16057575014
1,16057575016
1,16057575030
1,16057575004
1,16057575015
1,16057575017
1,16057575009
1,16057575005
1,16057575010
1,16057575012
1,16057575006
1,16057575011
1,16057575021
1,16057575029
1,16057575024
1,16057575023
1,16069696023
1,16069696026
1,16057575026
1,16057575027
1,16061616006
1,16069696030
1,16061616008
1,16069696025
1,16069696031
1,16069696032
1,16069696001
1,16069696002
1,16069696003
1,16069696006
1,16069696024
1,16069696004
1,16069696007
1,16069696005
1,16069696009
1,16069696010
1,16069696011
1,16069696008
1,16069696013
1,16069696012
1,16069696015
1,16069696016
1,16069696018
1,16069696014
1,16069696017
1,16069696020
1,16069696019
1,16069696021
1,16069696022
1,16073732305
1,16073732311
1,16073732312
1,16075759001
1,16075759002
1,16075759003
1,16075759004
1,16087879010
1,16075759006
1,16075759007
1,16079797003
1,16079797004
1,16079797005
1,16079797006
1,16079797002
1,16079797013
1,16079797007
1,16079797008
1,16085858001
1,16085858007
1,16085858008
1,16087879001
1,16087879002
1,16087879009
1,16087879011
1,16087879003
1,16087879004
1,16087879005
1,16087879006
2,16005052834
2,16005052835
2,16005052836
2,16005052839
2,16005052857
2,16005052918
2,16005052838
2,16005052837
2,16005052840
2,16005052860
2,16005052841
2,16005052921
2,16005052842
2,16005052843
2,16005052863
2,16005052867
2,16005052922
2,16005052923
2,16005052927
2,16005052932
2,16005052928
2,16005052966
2,16005052850
2,16005052851
2,16005052852
2,16005052853
2,16005052855
2,16005052911
2,16005052854
2,16005052910
2,16005052858
2,16005052859
2,16077772806
2,16005052856
2,16005052917
2,16011113115
2,16011113116
2,16011113120
2,16029293205
2,16077772803
2,16005052861
2,16005052862
2,16005052864
2,16005052865
2,16071713201
2,16071713203
2,16077772805
2,16005052868
2,16029293208
2,16041413207
2,16041413214
2,16041413206
2,16005052901
2,16005052902
2,16005052903
2,16005052904
2,16005052905
2,16005052906
2,16005052907
2,16005052926
2,16005052908
2,16005052925
2,16005052909
2,16005052914
2,16005052912
2,16005052913
2,16005052915
2,16005052919
2,16005052920
2,16005052924
2,16005052931
2,16007072905
2,16007073201
2,16007073202
2,16007073203
2,16007073206
2,16007073210
2,16007073211
2,16029293206
2,16007072916
2,16029293202
2,16007073208
2,16007073212
2,16007073213
2,16007073207
2,16007073215
2,16041413211
2,16007073209
2,16029293201
2,16041413212
2,16041413213
2,16055552070
2,16011113101
2,16011113102
2,16011113105
2,16011113123
2,16011113103
2,16011113106
2,16011113104
2,16011113112
2,16011113117
2,16011113118
2,16011113109
2,16011113107
2,16011113108
2,16011113110
2,16011113114
2,16011113119
2,16011113127
2,16019193057
2,16019193256
2,16019193258
2,16011113113
2,16011113121
2,16011113122
2,16011113128
2,16011113111
2,16011113124
2,16011113125
2,16019193323
2,16077772801
2,16023233502
2,16019193038
2,16011113126
2,16019193037
2,16023233503
2,16013132601
2,16013132603
2,16013132602
2,16013132605
2,16013132606
2,16025252602
2,16063632603
2,16063632604
2,16013132604
2,16023233501
2,16037378003
2,16037378006
2,16013132608
2,16013132610
2,16013132611
2,16013132612
2,16013132613
2,16013132609
2,16013132607
2,16013132614
2,16013132615
2,16013132616
2,16025252601
2,16037378004
2,16037378008
2,16017171001
2,16017171003
2,16017171004
2,16017171008
2,16017171015
2,16017171017
2,16017171023
2,16017171033
2,1601717127B
2,16017171002
2,16017171009
2,16017171026
2,16017171030
2,16017171031
2,16017177025
2,16017177028
2,16017171010
2,16017171018
2,16017171020
2,16017171022
2,16017171032
2,16017171006
2,16017171014
2,16017177012
2,16017177019
2,16017171007
2,16017171011
2,16017171016
2,16017171013
2,1601717127A
2,16021211002
2,16021211006
2,16017171024
2,16017171029
2,16055552001
2,16055552002
2,16055552003
2,16017171021
2,16017177005
2,16021211003
2,16021211001
2,16055552004
2,16019193001
2,16019193021
2,16019193302
2,16019193303
2,16019193308
2,16019193013
2,16019193309
2,16019193310
2,16019193312
2,16019193318
2,16019193320
2,16019193022
2,16019193039
2,16019193305
2,16019193040
2,16019193045
2,16019193046
2,16019193444
2,16019193025
2,16019193314
2,16019193315
2,16019193324
2,16019193326
2,16019193027
2,16019193028
2,16019193049
2,16019193052
2,16019193319
2,16019193050
2,16051513514
2,16051513515
2,16051513516
2,16019193304
2,16019193443
2,16051513517
2,16019193042
2,16019193047
2,16019193048
2,16019193051
2,16019193041
2,16019193259
2,16019193454
2,16019193453
2,16019193255
2,16081813207
2,16019193306
2,16019193307
2,16019193311
2,16019193317
2,16019193316
2,16051513503
2,16051513506
2,16051513507
2,16021211005
2,16021211007
2,16021211004
2,16023233504
2,16033333503
2,16037378005
2,16051513512
2,16047472603
2,16047472606
2,16029293203
2,16029293204
2,16029293207
2,16029293209
2,16031312701
2,16031312702
2,16031312721
2,16031312725
2,16067672702
2,16031312703
2,16031312706
2,16031312704
2,16031312705
2,16031312712
2,16031312723
2,16067672703
2,16067672704
2,16031312707
2,16031312710
2,16031312711
2,16031312713
2,16031312716
2,16031312724
2,16031312708
2,16031312709
2,16031312715
2,16031312722
2,16071713205
2,16031312714
2,16031312720
2,16067672708
2,16077772802
2,16077772804
2,16067672701
2,16067672710
2,16031312717
2,16031312719
2,16031312718
2,16083832510
2,16083832514
2,16053532501
2,16083832501
2,16083832509
2,16033333501
2,16033333502
2,16051513513
2,16059598001
2,16037378001
2,16037378002
2,16037378009
2,16059598003
2,16059598009
2,16037378007
2,16059598008
2,16041413201
2,16041413202
2,16041413205
2,16041413209
2,16041413216
2,16041413203
2,16041413208
2,16041413204
2,16041413217
2,16041413215
2,16041413210
2,16071713204
2,16043433501
2,16043433502
2,16043433503
2,16043433504
2,16043433510
2,16043433514
2,16043433506
2,16043433508
2,16043433511
2,16043433515
2,16065653417
2,16081813201
2,16043433505
2,16065653401
2,16065653404
2,16043433507
2,16043433513
2,16043433512
2,16065653406
2,16047472601
2,16047472602
2,16047472605
2,16047472607
2,16053532505
2,16063632601
2,16047472604
2,16053532504
2,16053532507
2,16053532509
2,16083832301
2,16083832304
2,16083832305
2,16051513501
2,16051513502
2,16051513504
2,16051513509
2,16051513510
2,16051513508
2,16051513505
2,16051513511
2,16065653419
2,16065653402
2,16053532502
2,16063632605
2,16063632606
2,16053532503
2,16083832513
2,16053532506
2,16053532508
2,16083832421
2,16083832423
2,16083832524
2,16083832419
2,16083832420
2,16053532510
2,16055552005
2,16055552006
2,16055552013
2,16055552061
2,16055552007
2,16055552012
2,16055553010
2,16055552014
2,16055553008
2,16055553009
2,16055553023
2,16055552018
2,16055553011
2,16055552015
