district,precinct
1,16005052834
1,16005052835
1,16005052836
1,16005052839
1,16005052857
1,16005052918
1,16005052838
1,16005052837
1,16005052840
1,16005052860
1,16005052841
1,16005052921
1,16005052842
1,16005052843
1,16005052863
1,16005052867
1,16005052922
1,16005052923
1,16005052927
1,16005052932
1,16005052928
1,16005052966
1,16005052850
1,16005052851
1,16005052852
1,16005052853
1,16005052855
1,16005052911
1,16005052854
1,16005052910
1,16005052858
1,16005052859
1,16077772806
1,16005052856
1,16005052917
1,16011113115
1,16011113116
1,16011113120
1,16029293205
1,16077772803
1,16005052861
1,16005052862
1,16005052864
1,16005052865
1,16071713201
1,16071713203
1,16077772805
1,16005052868
1,16029293208
1,16041413207
1,16041413214
1,16041413206
1,16005052901
1,16005052902
1,16005052903
1,16005052904
1,16005052905
1,16005052906
1,16005052907
1,16005052926
1,16005052908
1,16005052925
1,16005052909
1,16005052914
1,16005052912
1,16005052913
1,16005052915
1,16005052919
1,16005052920
1,16005052924
1,16005052931
1,16007072905
1,16007073201
1,16007073202
1,16007073203
1,16007073206
1,16007073210
1,16007073211
1,16029293206
1,16007072916
1,16029293202
1,16007073208
1,16007073212
1,16007073213
1,16007073207
1,16007073215
1,16041413211
1,16007073209
1,16029293201
1,16041413212
1,16041413213
1,16009095001
1,16009095003
1,16009095004
1,16009095006
1,16009095007
1,16009095009
1,16009095010
1,16009095011
1,16009095002
1,16055552068
1,16055552070
1,16055553069
1,16009095005
1,16057575022
1,16057575032
1,16079797012
1,16009095008
1,16079797011
1,16079797009
1,16057575020
1,16057575028
1,16057575031
1,16011113101
1,16011113102
1,16011113105
1,16011113123
1,16011113103
1,16011113106
1,16011113104
1,16011113112
1,16011113117
1,16011113118
1,16011113109
1,16011113107
1,16011113108
1,16011113110
1,16011113114
1,16011113119
1,16011113127
1,16019193057
1,16019193256
1,16019193258
1,16011113113
1,16011113121
1,16011113122
1,16011113128
1,16011113111
1,16011113124
1,16011113125
1,16019193323
1,16077772801
1,16023233502
1,16019193038
1,16011113126
1,16019193037
1,16023233503
1,16023233501
1,16017171001
1,16017171003
1,16017171004
1,16017171008
1,16017171015
1,16017171017
1,16017171023
1,16017171033
1,1601717127B
1,16017171002
1,16017171009
1,16017171026
1,16017171030
1,16017171031
1,16017177025
1,16017177028
1,16017171010
1,16017171018
1,16017171020
1,16017171022
1,16017171032
1,16017171006
1,16017171014
1,16017177012
1,16017177019
1,16017171007
1,16017171011
1,16017171016
1,16017171013
1,1601717127A
1,16021211002
1,16021211006
1,16017171024
1,16017171029
1,16055552001
1,16055552002
1,16055552003
1,16017171021
1,16017177005
1,16021211003
1,16021211001
1,16055552004
1,16019193001
1,16019193021
1,16019193302
1,16019193303
