district,precinct
1,2001500001A
1,20015000070
1,2001500009C
1,20015140010
1,20015140050
1,20173120370
1,20173120390
1,20173120400
1,20173130160
1,2001500001L
1,2001500001N
1,2001500001O
1,20015140070
1,2001500002A
1,20015000030
1,2001500004A
1,20015120050
1,2001500002B
1,20015140040
1,20015140060
1,2001500002C
1,20015000050
1,2001500004B
1,20015000320
1,20015000430
1,20173503010
1,20173503530
1,20015000080
1,20015000380
1,20015000410
1,20015000450
1,2001500009F
1,20015140020
1,2001500009G
1,20173131100
1,20173500590
1,2001500009H
1,20015000130
1,20015200020
1,20035000310
1,20035000320
1,20015000340
1,20015140030
1,20015200010
1,2001580070A
1,2001580070B
1,2001580070C
1,2001580070E
1,2001580070F
1,20173502570
1,20015120040
1,2001580010B
1,20173500650
1,20173120380
1,2001580010A
1,20015800060
1,2001580070D
1,20035000260
1,20173503700
1,20173503740
1,2001580040B
1,20035000180
1,2003500001A
1,20035000020
1,20035000030
1,20035000050
1,20035000120
1,20035000210
1,2003500042A
1,20035900030
1,20035900040
1,2003500001B
1,2003500001C
1,20035000140
1,20035000150
1,20035000040
1,2003500006A
1,2003500006B
1,20035000090
1,2003500005A
1,20035000070
1,20035000080
1,20035000100
1,20035000110
1,20035000200
1,2003500013A
1,2003500041A
1,2003500041B
1,20035900020
1,20035000170
1,20035000300
1,20035000390
1,20191000310
1,20035000190
1,20035000230
1,20035000250
1,20035000340
1,20035000370
1,20035000360
1,20035900050
1,20035000220
1,20035000270
1,20035000330
1,20035000400
1,20035000380
1,20191000140
1,20191000240
1,20035000350
1,20035000480
1,20035000500
1,2003500051A
1,2003500051B
1,2003500055B
1,20035000560
1,20035900010
1,20035900070
1,2003500053B
1,20035000520
1,2003500053A
1,20035000540
1,20035000550
1,20035000570
1,2003500057A
1,20191000320
1,20035900060
1,20035000440
1,20035000450
1,20035000470
1,20035000460
1,20035000490
1,20077000100
1,20191000030
1,20191000210
1,20191000100
1,20191000090
1,20173503800
1,20173700010
1,20079900020
1,20091900150
1,20173100010
1,20173120160
1,20173120170
1,20173120300
1,20173130510
1,20173130520
1,20173130530
1,20173130540
1,20173130550
1,20173130560
1,20173130570
1,20173130810
1,20173130830
1,20173180040
1,20173502130
1,20173502140
1,20173502150
1,20173502500
1,20173502810
1,20173120010
1,20173120020
1,20173130170
1,20173500010
1,20173500040
1,20173500050
1,20173500790
1,20173120030
1,20173130840
1,20173500380
1,20173500390
1,20173500580
1,20173502580
1,20173120040
1,20173500360
1,20173500370
1,20173500420
1,20173120050
1,20173120420
1,20173500540
1,20173500710
1,20173120060
1,20173500760
1,20173500770
1,20173500780
1,20173500840
1,20173120070
1,20173500800
1,20173500820
1,20173120080
1,20173503650
1,20173120090
1,20173131450
1,20173500900
1,20173500910
1,20173120100
1,20173501150
1,20173501160
1,20173501170
1,20173501180
1,20173120110
1,20173120470
1,20173120480
1,20173180030
1,20173501500
1,20173120120
1,20173130260
1,20173501740
1,20173502200
1,20173120130
1,20173501830
1,20173501860
1,20173501870
1,20173120140
1,20173120340
1,20173500280
1,20173501990
1,20173120150
1,20173130970
1,20173502040
1,20173130440
1,20173120180
1,20173120230
1,20173120510
1,20173120530
1,20173120190
1,20173120210
1,20173120250
1,20173130640
1,20173131510
1,20173502260
1,20173120200
1,20173120220
1,20173120260
1,20173502270
1,20173502280
1,20173120240
1,20173120270
1,20173120280
1,20173131500
1,20173502400
1,20173120290
1,20173501540
1,20173501670
1,20173130930
1,20173120310
1,20173120320
1,20173120440
1,20173120330
1,20173130050
1,20173500260
1,20173502220
1,20173502890
1,20173120360
1,20173120490
1,20173120500
1,20173140050
1,20173120350
1,20173503370
1,20173503470
1,20173503490
1,20173130100
1,20173130110
1,20173130120
1,20173131160
1,20173500560
1,20173130090
1,20173600010
1,20173190140
1,20173130130
1,20173120410
1,20173120430
1,20173120450
1,20173503250
1,20173503920
1,20191000180
1,20173120460
1,20173131540
1,20173503290
1,20173700210
1,20173700260
1,20173700290
1,20173130430
1,20173131370
1,20173120540
1,20173130490
1,20173130980
1,20173131060
1,20173502070
1,20173502850
1,20173503500
1,20173131440
1,20173131480
1,20173503770
1,20173600020
1,20173120520
1,20173130210
1,20173130650
1,20173130660
1,20173130670
1,20173503760
1,20173131070
1,20173190050
1,20173502960
1,20173700350
1,20173700400
1,20173120790
1,20173500200
1,20173500220
1,20173500230
1,20173120900
1,20173121310
1,20173130450
1,20173501390
1,20173501930
1,20173502410
1,20173121320
1,20173121330
1,20173130500
1,20173502000
1,20173502010
1,20173501940
1,20173130010
1,20173130040
1,20173500110
1,20173500430
1,20173500810
1,20173503030
1,20173130020
1,20173130030
1,20173500060
1,20173500080
1,20173500090
1,20173131080
1,20173130060
1,20173130070
1,20173131410
1,20173131420
1,20173502240
1,20173130080
1,20173131120
1,20173500570
1,20173130140
1,20173130150
1,20173130180
1,20173500030
1,20173501000
1,20173500740
1,20173500750
1,20173130190
1,20173500890
1,20173501010
1,20173501200
1,20173130200
1,20173131490
1,20173130220
1,20173130230
1,20173130240
1,20173500980
1,20173501060
1,20173501400
1,20173501420
1,20173130250
1,20173501590
1,20173502440
1,20173501080
1,20173501620
1,20173501630
1,20173502470
1,20173170030
1,20173170040
1,20173130270
1,20173130280
1,20173130290
1,20173130300
1,20173503990
1,20173130310
1,20173130320
1,20173503940
1,20173130330
1,20173130340
1,20173130350
1,20173130360
1,20173130370
1,20173131610
1,20173501210
1,20173130380
1,20173130390
1,20173131460
1,20173130400
1,20173130410
1,20173130420
1,20173180010
1,20173190020
1,20173501730
1,20173502180
1,20173130680
1,20173131330
1,20173150010
1,20173150020
1,20173150030
1,20173501460
1,20173501480
1,20173130460
1,20173500990
1,20173501820
1,20173501880
1,20173130470
1,20173501850
1,20173130480
1,20173130820
1,20173130580
1,20173501090
1,20173130610
1,20173140020
1,20173130620
1,20173502290
1,20173130630
1,20173130690
1,20173130700
1,20173503400
1,20173130710
1,20173700330
1,20173130720
1,20173130730
1,20173130740
1,20173130750
1,20173130760
1,20173130770
1,20173130780
1,20173131590
1,20173130790
1,20173130800
1,20173130850
1,20173131680
1,20173502630
1,20173503930
1,20173130860
1,20173503590
1,20173130870
1,20173130880
1,20173130890
1,20173503260
1,20173130900
1,20173130910
1,20173130920
1,20173130940
1,20173130950
1,20173130960
1,20173130990
1,20173131320
1,20173131010
1,20173131020
1,20173131030
1,20173131040
1,20173131050
1,20173131090
1,20173131110
1,20173131140
1,20173131150
1,20173131170
1,20173131180
1,20173131190
1,20173500530
1,20173131210
1,20173131220
1,20173131230
1,20173131240
1,20173131250
1,20173131260
1,20173131270
1,20173131280
1,20173131290
1,20191000020
1,20191900050
1,20173131300
1,20173502730
1,20173131310
1,20173502030
1,20173131340
1,20173131350
1,20173131360
1,20173131380
1,20173502900
1,20173131390
1,20173131400
1,20173500490
1,20173131430
1,20173501220
1,20173501320
1,20173131470
1,20173500940
1,20173131520
1,20173503180
1,20173503190
1,20173131530
1,20191000220
1,20191900040
1,20173131550
1,20173700390
1,20173131560
1,20173131570
1,20173131600
1,20173131580
1,20173131620
1,20173501110
1,20173131630
1,20173131640
1,20173131650
1,20173131660
1,20173131670
1,20173140010
1,20173140030
1,20173140060
1,20173140070
1,20173502230
1,20173140080
1,20173150040
1,20173170010
1,20173503070
1,20173170020
1,20173170050
1,20173170060
1,20173190010
1,20173190030
1,20173190040
1,20173500130
1,20173500140
1,20173500120
1,20173500440
1,20173500180
1,20173500190
1,20173500460
1,20173500160
1,20173500150
1,20173501960
1,20173500170
1,20173500240
1,20173500210
1,20173500470
1,20173502830
1,20173500410
1,20173500400
1,20173500450
1,20173500480
1,20173500500
1,20173503120
1,20173500880
1,20173500870
1,20173500830
1,20173501020
1,20173501030
1,20173502450
1,20173502650
1,20173501430
1,20173501440
1,20173501570
1,20173501450
1,20173501550
1,20173501560
1,20173502460
1,20173501650
1,20173501580
1,20173501640
1,20173501660
1,20173501680
1,20173502160
1,20173501890
1,20173501920
1,20173501910
1,20173501900
1,20173502930
1,20173502120
1,20173502610
1,20173502660
1,20173502700
1,20173502740
1,20191000200
1,20173700590
1,20191120030
1,20191120050
1,20173800010
1,2019100002A
1,2019100002B
1,2019112003A
1,20191900060
1,20173700310
1,20191000080
1,20191000010
1,20191000150
1,20191000170
1,20191000360
1,20191120130
1,2019112013A
1,20191900010
1,20191000250
