district,precinct
1,23001010400
1,23001010800
1,23001010300
1,23001010100
1,23001010600
1,23001010700
1,23005000200
1,23005000500
1,23005000100
1,23005000300
1,23005001100
1,23005001200
1,23005001000
1,23031034003
1,23031034004
1,23031028004
1,23031034002
1,23031028003
1,23031034005
1,23005004805
1,23005004701
1,23005004804
1,23005017002
1,23005012002
1,23005004802
1,23001010500
1,23001020100
1,23001020402
1,23001020500
1,23001020302
1,23001020600
1,23001020700
1,23023970600
1,23023970700
1,23023970500
1,23023970400
1,23017965900
1,23017966002
1,23017965800
1,23017966001
1,23017966100
1,23017966500
1,23017966300
1,23017966200
1,23005011300
1,23023970301
1,23005004502
1,23001040000
1,23005011203
1,23005011204
1,23005004501
1,23005001500
1,23005000600
1,23005001800
1,23005002300
1,23005001900
1,23005002001
1,23005001700
1,23005002102
1,23005002200
1,23005003300
1,23005003001
1,23005003400
1,23005017303
1,23005003100
1,23005002800
1,23005002901
1,23005002002
1,23005002700
1,23005002902
1,23005002600
1,23031036002
1,23031034006
1,23031035001
1,23031038002
1,23031036004
1,23031037000
1,23031036003
1,23031006106
1,23031006103
1,23031006104
1,23031006105
1,23031030205
1,23031030203
1,23031030204
1,23031030300
1,23031030201
1,23005011205
1,23005011206
1,23023970302
1,23005011100
1,23001020801
1,23001046500
1,23001046000
1,23001020802
1,23001020900
1,23005001300
1,23031025203
1,23031025204
1,23031025206
1,23031025100
1,23031025205
1,23005014002
1,23005016002
1,23005016500
1,23005014001
1,23005016001
1,23005003002
1,23005017305
1,23005013001
1,23005013002
1,23005012001
1,23001041000
1,23017966401
1,23017966600
1,23005015000
1,23017966402
1,23001020303
1,23001020401
1,23031030102
1,23031030101
1,23031033000
1,23031032002
1,23031031000
1,23017966700
1,23001020301
1,23001020200
1,23005017306
1,23031005100
1,23005004002
1,23031020002
1,23005004001
1,23031020001
1,23031005302
1,23031005200
1,23031005301
1,23001030100
1,23001030200
1,23001010200
1,23001041500
1,23023970200
1,23017966800
1,23017966900
1,23031022500
1,23005002101
1,23005002504
1,23005002503
1,23005004401
1,23005004402
1,23005003200
1,23005003500
1,23005003701
1,23005003702
1,23005004202
1,23005011500
1,23005004600
1,23031029000
1,23031024002
1,23031028001
1,23031023502
1,23031024001
1,23031024501
1,23031025300
1,23031005400
1,23031027000
1,23031026000
1,23031025400
1,23031023000
1,23031022000
1,23031024502
1,23031038001
1,23005017308
1,23005004702
1,23005004201
1,23005002501
1,23005004803
1,23005004100
1,23031021000
1,23031035002
1,23031023501
1,23001042000
1,23005017102
1,23005017004
1,23005017307
1,23005017003
1,23005017101
1,23031032001
1,23005002400
2,23019000500
2,23019000400
2,23019000600
2,23019000700
2,23019000200
2,23019000900
2,23025965700
2,23019014000
2,23019015000
2,23025965600
2,23025965900
2,23021960500
2,23025965800
2,23003951100
2,23003950900
2,23003951800
2,23003952100
2,23003951000
2,23003952000
2,23003952300
2,23003951600
2,23003951700
2,23003951300
2,23003950100
2,23029956300
2,23029955100
2,23029956400
2,23029956200
2,23029956100
2,23011019000
2,23011018000
2,23011010500
2,23015975100
2,23011010100
2,23011020000
2,23021960302
2,23025965302
2,23021960900
2,23021960800
2,23019029000
2,23003950700
2,23021960400
2,23021960301
2,23011010602
2,23011010803
2,23011010601
2,23011010700
2,23013970302
2,23013970301
2,23013970500
2,23027045000
2,23015975200
2,23013970401
2,23027046001
2,23007970101
2,23007970601
2,23007970102
2,23007971000
2,23007970602
2,23025966300
2,23017965100
2,23009965200
2,23009965400
2,23009965100
2,23009965300
2,23009965504
2,23019009000
2,23009966300
2,23009966400
2,23027042000
2,23003952700
2,23003952600
2,23003952900
2,23003952400
2,23003952500
2,23019031100
2,23019031300
2,23019000300
2,23019006200
2,23019005000
2,23019013500
2,23019013000
2,23019012500
2,23019011000
2,23019015500
2,23019018000
2,23019012000
2,23027047000
2,23027041000
2,23019002000
2,23025965301
2,23025966200
2,23017965500
2,23019028500
2,23011017000
2,23011023002
2,23019940000
2,23019008001
2,23019007100
2,23019027000
2,23019022500
2,23019028000
2,23019024500
2,23019026500
2,23019021500
2,23019025500
2,23019007200
2,23011010801
2,23011010804
2,23011010900
2,23027044000
2,23013970200
2,23003951400
2,23003951900
2,23029955800
2,23029955600
2,23029955700
2,23029955900
2,23027046002
2,23011010400
2,23011010300
2,23013970600
2,23013970800
2,23013970402
2,23013970700
2,23013971100
2,23027043000
2,23025966601
2,23025966602
2,23025966100
2,23025966900
2,23025966702
2,23025966701
2,23025966500
2,23029955300
2,23029956500
2,23029955400
2,23011013000
2,23001045000
2,23011014002
2,23011014001
2,23011014500
2,23011012000
2,23021960700
2,23019020500
2,23019031200
2,23021960600
2,23029990000
2,23009965800
2,23009965700
2,23003951200
2,23019006100
2,23019006300
2,23007971100
2,23007971300
2,23007971202
2,23011015500
2,23025967000
2,23007971400
2,23007971201
2,23025966000
2,23011021000
2,23011020500
2,23019010000
2,23019030000
2,23019031000
2,23009966500
2,23009965503
2,23009966600
2,23003950400
2,23003950600
2,23003950300
2,23001044000
2,23001043000
2,23017965700
2,23015975300
2,23015975400
2,23015975600
2,23029955500
2,23011022000
2,23011010200
2,23011015000
2,23011016000
2,23025966801
2,23011023001
2,23025966802
2,23011025002
2,23011024202
2,23011011000
2,23011025001
2,23011024101
2,23011024102
2,23025966400
2,23003950200
2,23009966700
2,23013971000
2,23013970900
2,23009965900
2,23019004300
2,23019004100
2,23019004200
2,23019003000
2,23017965600
2,23017965400
2,23015975500
2,23023970100
2,23015975700
2,23011024201
2,23015975800
2,23015976200
2,23009966000
2,23009966100
2,23009966200
