district,precinct
1,28023000101
1,28023000102
1,28023000103
1,28023000104
1,28023000304
1,28023000305
1,28023000405
1,28023000406
1,28023000503
1,28023000105
1,28023000204
1,28023000205
1,28023000504
1,28023000301
1,28023000303
1,28023000202
1,28061000201
1,28061000205
1,28061000206
1,28023000206
1,28153000302
1,28153000303
1,28153000304
1,28153000305
1,28153000405
1,28061000503
1,28023000401
1,28061000202
1,28023000402
1,28023000404
1,28023000501
1,28023000502
1,28031000004
1,28031000005
1,28031000006
1,28035000201
1,28073000001
1,28035000202
1,28067000408
1,28067000410
1,28031000014
1,28067000409
1,28067000206
1,28067000401
1,28035000101
1,28035000104
1,28035000107
1,28035000110
1,28035000404
1,28035000409
1,28035000102
1,28035000103
1,28035000108
1,28035000205
1,28035000504
1,28035000505
1,28035000506
1,28035000405
1,28035000507
1,28035000109
1,28035000402
1,28035000501
1,28035000502
1,28073000011
1,28073000017
1,28035000207
1,28073000002
1,28035000203
1,28035000206
1,28035000302
1,28035000408
1,28035000204
1,28073000024
1,28035000301
1,28035000303
1,28035000304
1,28067000406
1,28067000412
1,28111000202
1,28035000305
1,28035000306
1,28111000102
1,28111000501
1,28111000504
1,28035000406
1,28035000503
1,28073000021
1,28109000390
1,28131000203
1,28131000101
1,28039000101
1,28039000102
1,28039000103
1,28039000104
1,28039000401
1,28041000402
1,28041000403
1,28039000203
1,28039000204
1,28039000201
1,28039000202
1,28039000301
1,28039000303
1,28039000205
1,28039000304
1,280590105_1
1,28039000302
1,28039000502
1,28039000503
1,28039000504
1,28039000505
1,28039000402
1,28039000403
1,28039000501
1,28039000404
1,28041000503
1,28111000505
1,28131000503
1,28059000408
1,28059000511
1,28131000401
1,28041000101
1,28041000201
1,28041000502
1,28041000202
1,28041000303
1,28041000304
1,28153000103
1,28153000105
1,28041000302
1,28111000301
1,28153000503
1,28041000501
1,28111000402
1,28041000504
1,28041000505
1,28111000403
1,28111000502
1,28111000103
1,28045000001
1,28045000003
1,28045000014
1,28045000005
1,28045000006
1,28045000008
1,28045000013
1,28047000304
1,28045000007
1,28045000015
1,28045000009
1,28045000028
1,28045000010
1,28045000012
1,28045000011
1,28045000018
1,28047000301
1,28045000016
1,28045000017
1,28045000021
1,28045000023
1,28045000024
1,28109000320
1,28109000407
1,28109000420
1,28045000019
1,28045000020
1,28045000022
1,28047000305
1,28047000315
1,28045000026
1,28045000027
1,28047000212
1,28109000340
1,28109000321
1,28047000101
1,28047000108
1,28047000109
1,28047000111
1,28047000502
1,28059000401
1,28059000402
1,28059000403
1,28059000504
1,280590406_1
1,28047000110
1,28047000509
1,28047000112
1,28047000115
1,28047000506
1,28059000407
1,28047000113
1,28047000508
1,28047000507
1,28131000403
1,28047000201
1,28047000202
1,28047000210
1,28047000306
1,28131000302
1,28047000211
1,28047000313
1,28047000314
1,28047000411
1,28047000204
1,28047000213
1,28047000409
1,28047000410
1,28047000205
1,28047000206
1,28047000207
1,28047000401
1,28047000402
1,28047000408
1,28047000209
1,28047000214
1,28047000406
1,28047000505
1,28047000501
1,28047000510
1,28047000504
1,28047000302
1,28047000310
1,28047000303
1,28047000308
1,28047000405
1,28047000312
1,28047000404
1,28047000311
1,28047000407
1,28047000503
1,28131000303
1,28059000101
1,28059000102
1,28059000509
1,28059507_1B
1,28059000112
1,2805900507a
1,28059000110
1,28059000203
1,280590108_1
1,280590113_1
1,28059110_1C
1,28059000111
1,28059000502
1,28059205_1B
1,28059000202
1,28059000207
1,28059202_1A
1,28059000205
1,28059000309
1,280590209_1
1,28059209_1C
1,28059307_1a
1,28059000301
1,28059000305
1,280590301_C
1,28059209_1D
1,28059301_1B
1,28059304_1a
1,28059000307
1,280590304_1
1,28059000314
1,28059000310
1,28059000311
1,28059000312
1,28059000501
1,28059000503
1,28059503_1A
1,28059503_1B
1,28059503_1D
1,280590409_1
1,28059000506
1,28059409_1a
1,28059508_1a
1,28059000507
1,28059406_1C
1,28059409_1c
1,28059503_1C
1,28059505_1b
1,28059000505
1,28059406_1b
1,28059505_1B
1,28059507_1C
1,28059113_1B
1,28059209_1H
1,28061000101
1,28061000102
1,28061000104
1,28061000303
1,28061000105
1,28061000301
1,28061000401
1,28061000502
1,28061000203
1,28061000304
1,28061000402
1,28067000103
1,28067000104
1,28067000308
1,28061000501
1,28129000201
1,28067000205
1,28067000207
1,28129000202
1,28067000102
1,28067000204
1,28067000503
1,28067000202
1,28067000211
1,28067000302
1,28067000201
1,28067000203
1,28067000210
1,28067000208
1,28067000510
1,28067000506
1,28067000305
1,28067000307
1,28067000303
1,28067000309
1,28067000310
1,28067000505
1,28067000509
1,28067000304
1,28153000404
1,28153000505
1,28067000306
1,28067000403
1,28067000405
1,28067000402
1,28067000404
1,28067000407
1,28073000003
1,28073000004
1,28073000005
1,28073000006
1,28073000007
1,28073000008
1,28073000009
1,28073000013
1,28073000015
1,28073000022
1,28073000023
1,28073000012
1,28073000010
1,28073000014
1,28073000016
1,28073000019
1,28073000020
1,28109000250
1,28109000269
1,28109000110
1,28109000130
1,28109000150
1,28109000227
1,28109000240
1,28109000140
1,28109000210
1,28109000359
1,28109000367
1,28109000270
1,28109000440
1,28109000520
1,28109000525
1,28109000550
1,28109000280
1,28109000410
1,28109000527
1,28109000350
1,28131000304
1,28111000101
1,28111000201
1,28111000401
1,28111000404
1,28111000503
1,28131000102
1,28131000501
1,28131000502
1,28131000103
1,28131000201
1,28131000402
1,28131000301
1,28153000101
1,28153000203
1,28153000204
1,28153000102
1,28153000201
1,28153000301
1,28153000401
1,28153000501
1,28153000502
1,28153000202
1,28153000402
1,28153000403
2,28001000101
2,28001000102
2,28001000103
2,28001000202
2,28001000401
2,28001000404
2,28001000203
2,28157000202
2,28157000402
2,28001000201
2,28001000302
2,28001000304
2,28001000301
2,28001000204
2,28001000303
2,28001000503
2,28001000504
2,28037000101
2,28037000102
2,28037000103
