district,precinct
1,30003000001
1,30003000003
1,30003000004
1,30003000007
1,30003000008
1,30003000017
1,30003000019
1,3000300004N
1,301110042.2
1,30003000002
1,30003000021
1,301110039.1
1,301110039.2
1,301110042.1
1,30003000018
1,30003000005
1,30003000006
1,30003000010
1,30003000025
1,30003000026
1,30087000030
1,30103000001
1,30003000015
1,30003000009
1,30075000005
1,30075000012
1,30087000007
1,30003000014
1,30009000005
1,30009000015
1,30087000015
1,30005000001
1,30005000003
1,30005000008
1,30005000009
1,30005000010
1,30005000013
1,300710011_N
1,300710011_S
1,30005000015
1,30005000011
1,30015000009
1,30027000016
1,30041000014
1,30041000025
1,30009000001
1,30009000003
1,30095000002
1,301110055.3
1,30009000002
1,30009000007
1,30095000001
1,30009000004
1,30009000006
1,30009000011
1,30009000016
1,30009000008
1,30009000009
1,30009000010
1,3006700059D
1,30095000011
1,30095000013
1,30011000001
1,30011000003
1,30011000014
1,30075000009
1,30075000011
1,30011000013
1,30017000011
1,30017000012
1,30025000001
1,30013000023
1,30013000024
1,30013000025
1,3001300020A
1,3001300020B
1,3001300021A
1,3001300022A
1,3001300026B
1,3001300026A
1,30013000027
1,3001300019E
1,3001300021B
1,3001300022B
1,3001300022C
1,30015000004
1,30015000006
1,30099000006
1,30013000030
1,3001300019C
1,3001300019D
1,30045000001
1,30045000002
1,30045000004
1,300130019B1
1,300130019B2
1,300130019A4
1,300130019A1
1,300130019A2
1,300130019A3
1,30099000007
1,30015000001
1,30015000002
1,30015000003
1,30015000007
1,30015000008
1,30041000022
1,30051000003
1,30027000004
1,30051000001
1,30073000019
1,30099000017
1,30015000005
1,30041000018
1,30041000028
1,30041000020
1,30041000021
1,30017000001
1,30017000002
1,30017000004
1,30017000007
1,30017000008
1,30017000003
1,30017000005
1,30017000006
1,30079000004
1,30017000013
1,30033000007
1,30087000010
1,30017000009
1,30017000010
1,30087000011
1,30075000004
1,30087000017
1,30075000003
1,30017000014
1,30079000003
1,30019000002
1,30019000003
1,30085000017
1,30091000002
1,30091000005
1,30019000005
1,30019000006
1,30085000028
1,30105000034
