district,precinct
1,54037
1,54003
1,54083
1,54001
1,54023
1,54071
1,54075
1,54093
1,54097
1,54101
1,54065
1,54027
1,54107
1,54073
1,54085
1,54105
1,54103
1,54049
1,54033
1,54095
1,54061
1,54051
1,54017
1,54057
1,54031
1,54091
1,54087
1,54013
1,54015
1,54041
1,54007
1,54077
1,54021
2,54063
2,54025
2,54089
2,54047
2,54109
2,54059
2,54055
2,54005
2,54045
2,54043
2,54039
2,54081
2,54035
2,54067
2,54019
2,54099
2,54011
2,54079
2,54053
2,54029
2,54009
2,54069
