district,precinct
1,0900101_032
1,0900101_020
1,0900101_017
1,0900101_019
1,0900101_018
1,0900101_023
1,0900101_065
1,0900101_066
1,0900101_025
1,0900101_063
1,0900101_028
1,0900101_022
1,0900101_026
1,0900101_030
1,0900101_067
1,0900101_068
1,0900101_070
1,0900101_071
1,0900101_029
1,0900101_024
1,0900101_055
1,0900101_057
1,0900101_059
1,0900101_060
1,0900101_094
1,0900101_096
1,0900101_112
1,0900101_056
1,0900101_058
1,0900101_105
1,0900101_111
1,0900101_130
1,0900101_149
1,0900101_153
1,0900101_131
1,0900101_133
1,0900101_135
1,0900101_062
1,0900101_176
1,0900101_069
1,0900101_191
1,0900101_200
1,0900101_064
1,0900101_178
1,0900101_199
1,0900101_072
1,0900101_073
1,0900101_074
1,0900101_075
1,0900101_082
1,0900101_083
1,0900101_076
1,0900101_078
1,0900101_079
1,0900101_084
1,0900101_085
1,0900101_077
1,0900101_080
1,0900101_081
1,0900101_089
1,0900101_142
1,0900101_143
1,0900101_086
1,0900101_087
1,0900101_088
1,0900101_151
1,0900101_144
1,0900101_095
1,0900101_186
1,0900101_187
1,0900101_113
1,0900101_106
1,0900101_107
1,0900101_109
1,0900101_110
1,0900101_115
1,0900101_108
1,0900101_114
1,0900101_116
1,0900101_185
1,0900101_192
1,0900101_180
1,0900101_188
1,0900101_177
1,0900101_129
1,0900101_138
1,0900101_193
1,0900101_132
1,0900101_134
1,0900101_136
1,0900101_148
1,0900101_137
1,0900101_147
1,0900101_140
1,0900101_141
1,0900101_146
1,0900101_145
1,0900101_152
1,0900101_154
1,0900101_157
1,0900101_150
1,0900101_155
1,0900101_156
1,0900101_158
1,0900101_182
1,0900101_183
1,0900101_184
1,0900101_179
1,0900101_181
2,0901313_013
2,0901313_008
2,0901111_002
2,0900505_042
2,0901111_045
2,0901111_043
2,0901111_001
2,0901111_009
2,0901111_020
2,0901111_039
2,0901111_040
2,0901111_057
2,0901111_004
2,0901111_019
2,0901111_006
2,0901111_007
2,0901111_008
2,0901111_030
2,0901111_055
2,0901111_056
2,0901111_037
2,0901111_046
2,0901515_022
2,0901515_031
2,0901111_010
2,0901111_011
2,0901111_024
2,0901515_003
2,0901515_014
2,0901111_036
2,0901111_044
2,0901111_052
2,0901111_012
2,0901111_013
2,0901111_014
2,0901111_015
2,0901111_016
2,0901111_018
2,0901111_035
2,0901111_034
2,0901111_033
2,0901111_021
2,0901111_022
2,0901111_023
2,0901111_054
2,0901111_017
2,0901111_051
2,0901111_050
2,0901313_003
2,0901515_028
2,0901515_032
2,0901111_028
2,0901111_032
2,0901111_025
2,0901111_038
2,0901111_027
2,0901111_031
2,0901111_053
2,0901111_048
2,0901111_049
2,0901111_041
2,0901111_042
2,0901111_047
2,0901515_015
2,0901515_023
2,0901313_001
2,0901313_004
2,0901313_005
2,0901313_010
2,0901313_012
2,0901313_017
2,0901313_019
2,0901313_025
2,0901313_007
2,0901313_018
2,0901313_015
2,0901313_016
2,0901313_009
2,0901313_011
2,0901515_001
2,0901515_004
2,0901515_029
2,0901515_030
2,0901313_014
2,0901313_020
2,0901515_005
2,0901515_033
2,0901515_002
2,0901515_006
2,0901515_007
2,0901515_008
2,0901515_013
2,0901515_018
2,0901515_019
2,0901515_016
2,0901515_010
2,0901515_009
2,0901515_011
2,0901515_012
2,0901515_021
2,0901515_017
2,0901515_020
2,0901515_025
2,0901515_024
2,0901515_027
2,0901515_026
3,0900101_001
3,0900101_002
3,0900101_003
3,0900101_004
3,0900101_006
3,0900101_044
3,0900101_005
3,0900101_035
3,0900101_043
3,0900101_099
3,0900101_100
3,0900101_118
3,0900101_045
3,0900101_046
3,0900101_048
3,0900101_007
3,0900101_008
3,0900101_011
3,0900101_021
3,0900101_010
3,0900101_015
3,0900101_163
3,0900101_168
3,0900101_009
3,0900101_031
3,0900101_033
3,0900101_159
3,0900101_189
3,0900101_012
3,0900101_173
3,0900101_013
3,0900101_014
3,0900101_016
3,0900101_175
3,0900101_034
3,0900101_042
3,0900101_097
3,0900505_024
3,0900505_025
3,0900505_003
3,0900101_036
3,0900101_037
3,0900101_038
3,0900101_039
3,0900101_040
3,0900101_047
3,0900101_053
3,0900101_054
3,0900101_041
3,0900101_098
3,0900101_049
3,0900101_050
3,0900101_121
3,0900101_051
3,0900101_052
3,0900101_120
3,0900101_122
3,0900101_061
3,0900101_090
3,0900101_091
3,0900101_102
3,0900101_104
3,0900101_117
3,0900101_174
3,0900101_093
3,0900101_103
3,0900101_092
3,0900101_171
3,0900101_127
3,0900101_101
3,0900101_128
3,0900505_021
3,0900909_147
3,0900101_119
3,0900101_126
3,0900101_166
3,0900101_172
3,0900101_198
3,0900909_075
3,0900505_022
3,0900101_160
3,0900101_161
3,0900101_194
3,0900101_195
3,0900909_071
3,0900909_072
3,0900101_162
3,0900101_164
3,0900101_165
3,0900101_190
3,0900101_197
3,0900101_196
3,0900101_167
3,0900909_073
3,0900909_076
3,0900505_019
3,0900505_029
3,0900505_023
3,0900505_020
3,0900909_077
3,0900909_070
3,0900909_074
4,0900101_123
4,0900101_124
4,0900909_024
4,0900909_145
4,0900101_125
4,0900909_026
4,0900909_140
4,0900909_069
4,0900909_131
4,0900909_001
4,0900909_002
4,0900909_003
4,0900909_005
4,0900909_144
4,0900909_146
4,0900909_007
4,0900909_004
4,0900909_006
4,0900909_025
4,0900909_194
4,0900909_195
4,0900909_047
4,0900909_049
4,0900909_010
4,0900909_011
4,0900909_013
4,0900909_014
4,0900909_015
