district,precinct
1,32001000001
1,32001000002
1,32001000003
1,32001000005
1,32001000007
1,32001000009
1,32001007_01
1,32001000004
1,32001000006
1,32001000011
1,32001015_01
1,32001015_02
1,32001015_03
1,32001000008
1,32001000012
1,32001000013
1,32001008_01
1,32001008_02
1,32001008_03
1,32001012_01
1,32001012_02
1,32001012_03
1,32001015_10
1,32001000015
1,32001015_04
1,32001015_05
1,32001015_06
1,32001015_07
1,32001015_08
1,32001015_09
1,32001000010
1,32001000018
1,32001000016
1,32001000017
1,32027000001
1,32001000019
1,32001000014
1,32019000005
1,32021000007
1,32021000011
1,32019000025
1,32019000024
1,32015000006
1,32021000009
1,32023000004
1,32027000007
1,32019000027
1,32019000040
1,32031007412
1,32031007581
1,32019000023
1,32019000028
1,32005000001
1,32005000003
1,32005000007
1,32005000009
1,32005000016
1,32005000018
1,32005000019
1,32005000020
1,32005000025
1,32005000029
1,32005000030
1,32005000002
1,32005000004
1,32005000008
1,32005000012
1,32005000014
1,32005000017
1,32005000028
1,32005000031
1,32005000005
1,32005000006
1,32005000013
1,32005000015
1,32005000021
1,32005000022
1,32005000026
1,32005000027
1,32005000035
1,32005000036
1,32005000037
1,32005000038
1,32005000041
1,32005000023
1,32510000407
1,32510000409
1,32005000010
1,32005000024
1,32019000007
1,32019000008
1,32005000011
1,32005000032
1,32005000033
1,32510000309
1,32005000034
1,32019000006
1,32019000012
1,32005ZZZZZZ
1,32510000105
1,32005000039
1,32005000040
1,32007000001
1,32007000002
1,32007000003
1,32007000010
1,32007000011
1,32007000013
1,32007000005
1,32007000006
1,32007000012
1,32007000014
1,32007000004
1,32007000009
1,32007000008
1,32007000007
1,32007000017
1,32007000032
1,32007000025
1,32007000027
1,32007000015
1,32007000016
1,32007000028
1,32011000003
1,32007000018
1,32007000019
1,32007000033
1,32007000034
1,32007000036
1,32007000037
1,32007000020
1,32007000021
1,32007000022
1,32007000023
1,32007000026
1,32007000040
1,32007000041
1,32007000024
1,32007000035
1,32011000001
1,32007000029
1,32007000030
1,32007000031
1,32013000009
1,32013000010
1,32013000012
1,32015000002
1,32007000038
1,32007000039
1,32009000001
1,32009000002
1,32009000004
1,32023000001
1,32023000015
1,32009000003
1,32009000005
1,32023000014
1,32021000010
1,32023000035
1,32011000002
1,32023000007
1,32011000004
1,32015000003
1,32015000004
1,32013000001
1,32013000002
1,32013000005
1,32013000014
1,320130007_2
1,32013000003
1,32013000004
1,32013000006
1,32027000005
1,32027000006
1,32013000008
1,32013000011
1,32031007521
1,32013000015
1,32015000005
1,32013000013
1,32015000001
1,32015000007
1,32015000008
1,32015000009
1,32023000005
1,32019000001
1,32019000002
1,32019000003
1,32019000004
1,32019000022
1,32019000009
1,32019000010
1,32019000011
1,32019000017
1,32019000016
1,32019000019
1,32019000013
1,32019000014
1,32019000015
1,32019000021
1,32029000004
1,32029000002
1,32019000020
1,32019000018
1,32510000211
1,32029000008
1,32019000026
1,32019000029
1,32019000033
1,32019000036
1,32019000037
1,32019000038
1,32019000039
1,32019000034
1,32029000015
1,32019000030
1,32019000031
1,32019000032
1,32019000035
1,32021000001
1,32021000002
1,32021000003
1,32021000005
1,32021000004
1,32021000006
1,32021000012
1,32021000008
1,32023000012
1,32027000003
1,32027000004
1,32031007531
1,32029000001
1,32029000005
1,32031008220
1,32031008222
1,32029000003
1,32029000006
1,32029000007
1,32029000012
1,32031007400
1,32031008202
1,32031008217
1,32031009248
1,32031008211
1,32031008297
1,32029000011
1,32029000013
1,32029000009
1,32029000010
1,32029000014
1,32031001000
1,32031001006
1,32031001014
1,32031001018
1,32031001033
1,32031001035
1,32031001002
1,32031001003
1,32031001012
1,32031001039
1,32031005008
1,32031005016
1,32031005020
1,32031001010
1,32031001005
1,32031001007
1,32031008112
1,32031008115
1,32031009107
1,32031001015
1,32031005056
1,32031001022
1,32031001023
1,32031001029
1,32031008129
1,32031001008
1,32031001011
1,32031001036
1,32031002000
1,32031002002
1,32031002049
1,32031001032
1,32031002004
1,32031002007
1,32031002078
1,32031003007
1,32031003008
1,32031001016
1,32031001027
1,32031001043
1,32031001045
1,32031005018
1,32031009120
1,32031001020
1,32031001031
1,32031008100
1,32031003009
1,32031001024
1,32031001026
