district,precinct
1,44007440301
1,44007440302
1,44007440303
1,44007440304
1,44007441301
1,44007441303
1,44007440305
1,44007440306
1,44007441304
1,44007442501
1,44007442502
1,44007442503
1,44007440401
1,44007440402
1,44007440403
1,44007440404
1,44007440406
1,44007442611
1,44007442613
1,44007440405
1,44007440407
1,44007440408
1,44007441704
1,44007442606
1,44007440810
1,44007441710
1,44007440701
1,44007440702
1,44007440705
1,44007442870
1,44007442877
1,44007442878
1,44007441603
1,44007441602
1,44007443001
1,44007440801
1,44007440802
1,44007440803
1,44007440806
1,44007440807
1,44007440812
1,44007441702
1,44007441708
1,44007440809
1,44007440813
1,44007441703
1,44007440804
1,44007440808
1,44007443909
1,44007440805
1,44007440811
1,44007441711
1,44007441705
1,44007443905
1,44007441001
1,44007441002
1,44007441004
1,44007441005
1,44007442630
1,44007442805
1,44007442815
1,44007441003
1,44007441008
1,44007442808
1,44007441006
1,44007442628
1,44007442629
1,44007442809
1,44007441201
1,44007441302
1,44007443003
1,44007443104
1,44007443105
1,44007441601
1,44007441604
1,44007441607
1,44007442874
1,44007441605
1,44007441608
1,44007441609
1,44007441612
1,44007441613
1,44007441606
1,44007441610
1,44007441611
1,44007442402
1,44007442406
1,44007442409
1,44007442850
1,44007442408
1,44007443102
1,44007443103
1,44007442849
1,44007441701
1,44007441706
1,44007441707
1,44007442411
1,44007442416
1,44007443101
1,44007443106
1,44007441709
1,44007442601
1,44007442603
1,44007442401
1,44007442405
1,44007442845
1,44007442403
1,44007442404
1,44007442407
1,44007442410
1,44007442414
1,44007442846
1,44007442412
1,44007442413
1,44007442819
1,44007442820
1,44007442415
1,44007442604
1,44007442821
1,44007442505
1,44007443908
1,44007442504
1,44007443904
1,44007443912
1,44007443906
1,44007443907
1,44007442602
1,44007442605
1,44007442607
1,44007442608
1,44007442631
1,44007442880
1,44007442610
1,44007442609
1,44007442627
1,44007442816
1,44007442612
1,44007442614
1,44007442618
1,44007442615
1,44007442616
1,44007442617
1,44007442620
1,44007442625
1,44007442622
1,44007442623
1,44007442626
1,44007442619
1,44007442621
1,44007442624
1,44007442801
1,44007442813
1,44007442818
1,44007442835
1,44007442836
1,44007442837
1,44007442802
1,44007442803
1,44007442804
1,44007442806
1,44007442817
1,44007442810
1,44007442807
1,44007442839
1,44007442833
1,44007442840
1,44007442811
1,44007442812
1,44007442814
1,44007442844
1,44007442841
1,44007442842
1,44007442822
1,44007442825
1,44007442828
1,44007442864
1,44007442866
1,44007442868
1,44007442823
1,44007442873
1,44007442830
1,44007442858
1,44007442859
1,44007442862
1,44007442838
1,44007442853
1,44007442843
1,44007442851
1,44007442854
1,44007442847
1,44007442848
1,44007442855
1,44007442860
1,44007442865
1,44007442863
1,44007442867
1,44007442852
1,44007442857
1,44007442856
1,44007442861
1,44007442869
1,44007442875
1,44007442876
1,44007443901
1,44007443902
1,44007443910
1,44007443911
1,44007443903
2,44001440101
2,44001440102
2,44001440104
2,44007441013
2,44007441016
2,44007441017
2,44001440103
2,44003443515
2,44007441015
2,44001440105
2,44003443519
2,44001443402
2,44001440203
2,44001443401
2,44001443403
2,44005442701
2,44001440201
2,44001440204
2,44001440205
2,44001440202
2,44001440207
2,44001440208
2,44001440206
2,44001440209
2,44005443301
2,44005442703
2,44005442704
2,44003440601
2,44003440602
2,44003440603
2,44003440610
2,44003443801
2,44003443802
2,44003443805
2,44003440612
2,44003443807
2,44003443810
2,44003440608
2,44007440730
2,44007443002
2,44003440604
2,44003440613
2,44003440901
2,44003443808
2,44003440605
2,44003440606
2,44003440609
2,44003440617
2,44003440618
2,44007441202
2,44003440607
2,44003440611
2,44003440614
2,44003440616
2,44003440615
2,44003443702
2,44003443701
2,44003440902
2,44003440905
2,44003443704
2,44003443809
2,44003440903
2,44003440904
2,44003443531
2,44003443526
2,44003443527
2,44009442301
2,44009442302
2,44009442304
2,44009441103
2,44003443501
2,44003443502
2,44003443504
2,44003443514
2,44007440727
2,44003443503
2,44003443512
2,44003443505
2,44003443508
2,44007440714
2,44007440725
2,44003443506
2,44003443509
2,44003443513
2,44003443524
2,44003443507
2,44003443510
2,44003443525
2,44003443528
2,44003443529
2,44007440710
2,44007440713
2,44007440715
2,44007440729
2,44003443511
2,44003443532
2,44007440709
2,44007440728
2,44003443517
2,44003443521
2,44003443516
2,44003443518
2,44003443520
2,44003443522
2,44003443523
2,44003443530
2,44003443533
2,44003443804
2,44003443806
2,44007440708
2,44003443803
2,44003443703
2,44009441102
2,44007440707
2,44005441501
2,44005441502
2,44005441904
2,44005441905
2,44005442106
2,44005442109
2,44005442107
2,44005ZZZZZZ
2,44009442002
2,44009442003
2,44009442303
2,44009442307
2,44009442308
2,44005441801
2,44005442708
2,44005443306
2,44005443307
2,44005441901
2,44005441902
2,44005441903
2,44005442105
2,44005442101
2,44005442102
2,44005442103
2,44005442108
2,44005442104
2,44005442702
2,44005442705
2,44005443304
2,44005442706
2,44005442707
2,44005443302
2,44005443303
2,44005443305
2,44009442001
2,44009442004
2,44009442005
2,44007440703
2,44007440722
2,44007440716
2,44007440719
2,44007440731
2,44007440704
2,44007440721
2,44007442824
2,44007440706
2,44007440711
2,44007440712
2,44007440717
2,44007440720
2,44007440718
2,44007440726
2,44007440723
2,44007440724
2,44007441011
2,44007442829
2,44007442832
2,44007442834
2,44007442872
2,44007441012
2,44007442871
2,44007441014
2,44007441009
2,44007441007
