district,precinct
1,Iowa
1,VanBuren
1,Wapello
1,DesMoines
1,Henry
1,Lee
1,Louisa
1,Jefferson
1,Washington
1,Keokuk
1,Poweshiek
1,Mahaska
2,Allamakee
2,Clayton
2,Winneshiek
2,Benton
2,BlackHawk
2,Buchanan
2,Linn
2,Tama
2,Bremer
2,Butler
2,Grundy
2,Chickasaw
2,Fayette
2,Delaware
2,Floyd
2,Cedar
2,Clinton
2,Johnson
2,Jones
2,Muscatine
2,Scott
2,Howard
2,Dubuque
2,Jackson
2,Winnebago
3,Adair
3,Adams
3,Cass
3,Madison
3,Union
3,Montgomery
3,Taylor
3,Appanoose
3,Davis
3,Monroe
3,Wayne
3,Pottawattamie
3,Clarke
3,Decatur
3,Lucas
3,Warren
3,Ringgold
3,Fremont
3,Mills
3,Page
3,Marshall
3,Jasper
3,Marion
4,Guthrie
4,Audubon
4,Carroll
4,Shelby
4,Boone
4,Dallas
4,Greene
4,Hamilton
4,Polk
4,Story
4,Webster
4,BuenaVista
4,Cherokee
4,Clay
4,Pocahontas
4,Sac
4,Franklin
4,Calhoun
4,Crawford
4,CerroGordo
4,Hancock
4,Mitchell
4,Worth
4,Ida
4,O'Brien
4,Plymouth
4,Woodbury
4,Dickinson
4,PaloAlto
4,Harrison
4,Monona
4,Emmet
4,Osceola
4,Kossuth
4,Hardin
4,Wright
4,Humboldt
4,Lyon
4,Sioux
